3gG2	3gG2	100.00	3390	0	0	1	3390	1	3390	0.0	6261
3gG2	Rpg1b	88.00	2733	272	34	1	2717	1	2693	0.0	3179
3gG2	Rpg1b	90.95	641	53	4	2712	3348	2925	3564	0.0	857
3gG2	Rpg1r	85.44	2740	368	19	1	2717	1	2732	0.0	2820
3gG2	Rpg1r	89.53	640	64	1	2712	3351	2964	3600	0.0	808
3gG2	RSG3-301	74.15	2491	547	73	161	2625	155	2574	0.0	942
ADR1	ADR1	100.00	2364	0	0	1	2364	1	2364	0.0	4366
ADR1	ADR1-L3	76.71	1636	354	25	744	2364	249	1872	0.0	885
ADR1-L1	ADR1-L1	100.00	2451	0	0	1	2451	1	2451	0.0	4527
ADR1-L2	ADR1-L2	100.00	2436	0	0	1	2436	1	2436	0.0	4499
ADR1-L2	ADR1-L3	86.50	1859	232	8	592	2436	19	1872	0.0	2025
ADR1-L3	ADR1-L3	100.00	1872	0	0	1	1872	1	1872	0.0	3458
ADR1-L3	ADR1-L2	86.49	1858	234	6	19	1872	592	2436	0.0	2025
ADR1-L3	ADR1	76.73	1637	352	26	249	1872	744	2364	0.0	885
Adnr1	Adnr1	100.00	4449	0	0	1	4449	1	4449	0.0	8216
Adnr1	YrU1	99.12	3867	31	1	1	3864	55	3921	0.0	6950
Adnr1	YrU1	86.19	391	42	6	3827	4205	4103	4493	3e-115	412
Adnr1	YrU1	84.24	184	17	5	4201	4384	4537	4708	7e-042	169
Adnr1-RGA4	Adnr1-RGA4	100.00	2994	0	0	1	2994	1	2994	0.0	5529
Adnr1-RGA4	YrU1-RGA4	99.53	2997	11	1	1	2994	1	2997	0.0	5454
AtNRG1.1	AtNRG1.1	100.00	2430	0	0	1	2430	1	2430	0.0	4488
AtNRG1.1	AtNRG1.2	86.82	1980	224	24	474	2430	483	2448	0.0	2176
AtNRG1.2	AtNRG1.2	100.00	2448	0	0	1	2448	1	2448	0.0	4521
AtNRG1.2	AtNRG1.1	86.82	1980	224	23	483	2448	474	2430	0.0	2176
BAR1	BAR1	100.00	2703	0	0	1	2703	1	2703	0.0	4992
BjuWRR1	BjuWRR1	100.00	2739	0	0	1	2739	1	2739	0.0	5059
BjuWRR1	rpp8_sus	75.74	2770	539	96	1	2699	1	2708	0.0	1269
BjuWRR1	RPP8	75.70	2765	543	89	1	2699	1	2702	0.0	1264
BjuWRR1	Hrt1	75.71	2779	527	107	1	2699	1	2711	0.0	1256
BjuWRR1	RCY1	75.34	2758	565	86	1	2699	1	2702	0.0	1219
BjuWRR1	LOV1	74.49	2771	578	94	1	2699	1	2714	0.0	1081
Bph1/9-1	Bph1/9-1	100.00	3681	0	0	1	3681	1	3681	0.0	6798
Bph1/9-1	Bph1/9-7	97.12	3676	68	15	1	3675	1	3639	0.0	6167
Bph1/9-1	Bph1/9-2	95.68	3475	137	5	1	3467	1	3470	0.0	5574
Bph1/9-1	Bph1/9-9	96.38	2870	83	7	815	3681	770	3621	0.0	4704
Bph1/9-1	Bph1/9-9	93.00	800	53	1	1	797	1	800	0.0	1164
Bph1/9-2	Bph1/9-2	100.00	3657	0	0	1	3657	1	3657	0.0	6754
Bph1/9-2	Bph1/9-7	94.95	3647	164	12	1	3640	1	3634	0.0	5698
Bph1/9-2	Bph1/9-1	95.68	3475	137	5	1	3470	1	3467	0.0	5574
Bph1/9-2	Bph1/9-9	91.82	2664	187	14	815	3470	770	3410	0.0	3683
